Time (UTC),Band 1,Peak Acceleration, Peak Velocity,RMS Velocity,Temperature, Battery Voltage,Damage Accumulation
2/15/20 05:09,0.0024374,0.0481759,0.0081651,0.0027906,65.81021881,3.241709471,1.0124303
2/15/20 05:18,0.0034169,0.0522578,0.0086778,0.0030248,66.27796173,3.241220951,0.983099
2/15/20 05:28,0.0034582,0.0476382,0.0103502,0.003348,65.88819771,3.241611719,0.9936279
2/15/20 05:38,0.0014652,0.0392119,0.0065931,0.0021837,65.84923401,3.241123438,0.9791234
2/15/20 05:49,0.0031839,0.0512568,0.0126929,0.0033268,66.04411087,3.241025686,0.9771959
2/15/20 05:59,0.0019878,0.0404826,0.0115368,0.0033616,65.1086731,3.240830421,0.9886914
2/15/20 06:09,0.0019845,0.0469723,0.0081826,0.0029453,65.38148422,3.241025686,1.0047609
2/15/20 06:19,0.0015766,0.036805,0.0076532,0.0025366,65.38148422,3.241025686,0.9887029
2/15/20 06:28,0.0012909,0.0416833,0.0063868,0.002266,65.14764023,3.240830421,1.0192137
2/15/20 06:38,0.0019681,0.0437924,0.0114875,0.0033244,64.99172363,3.240634918,0.9555168
2/15/20 06:48,0.0029668,0.0390004,0.0105644,0.0029423,65.26458626,3.240439415,0.9930928
2/15/20 06:59,0.002477,0.0420264,0.0092463,0.0034178,64.91378937,3.240439415,0.9815283
2/15/20 07:09,0.0027128,0.0487792,0.0099573,0.0025749,64.71890564,3.240341902,1.0340404
2/15/20 07:19,0.0026551,0.0438953,0.0127981,0.0034762,65.22557106,3.240341902,0.9748197
2/15/20 07:29,0.002687,0.0414123,0.0086754,0.0033068,64.87482224,3.240146637,0.9671733
2/15/20 07:38,0.0020053,0.0422635,0.0080742,0.0025179,64.87482224,3.239853621,1.0037253
2/15/20 07:48,0.0027004,0.045425,0.0087399,0.003187,64.64092331,3.240048885,0.9724608
2/15/20 07:58,0.0016888,0.0395707,0.0059298,0.0021835,64.64092331,3.239462614,1.0050256
2/15/20 08:09,0.0023743,0.0457433,0.0079797,0.0028061,64.60195961,3.239267349,0.967346
2/15/20 08:19,0.0027357,0.0433285,0.0087194,0.002691,64.44604301,3.238583565,0.9935474
2/15/20 08:29,0.0016129,0.0531232,0.0093225,0.0028132,64.87482224,3.239072084,0.9350286
2/15/20 08:39,0.0019161,0.0475764,0.0099502,0.0029591,64.56299248,3.238974333,0.9837319
2/15/20 08:48,0.0023644,0.0507012,0.0097963,0.003146,64.21219559,3.239462614,0.9882541
2/15/20 08:58,0.0023641,0.0448068,0.0094364,0.0027871,64.29017792,3.238485813,0.9826157
2/15/20 09:08,0.0014704,0.0437932,0.0118271,0.0030858,64.52402534,3.238193035,0.9664944
2/15/20 09:19,0.0023435,0.0403125,0.0090275,0.0028426,64.44604301,3.237997532,0.9651136
2/15/20 09:29,0.0019152,0.0404365,0.0080082,0.0026955,64.52402534,3.238095284,0.9999337
2/15/20 09:39,0.0035428,0.0440653,0.0107725,0.003141,64.44604301,3.238583565,0.9883519
2/15/20 09:49,0.0031733,0.0443298,0.0085097,0.0029352,64.13426132,3.237704515,0.9840714
2/15/20 09:59,0.0020109,0.0439819,0.0096434,0.0026239,63.8613987,3.237606764,0.9958027
2/15/20 10:08,0.0036988,0.0516287,0.012682,0.0035495,64.09529419,3.237802267,0.9450627
2/15/20 10:18,0.0009662,0.043639,0.0070396,0.0021136,64.25116272,3.237704515,0.9911079
2/15/20 10:28,0.0025401,0.0466881,0.0102902,0.003261,64.36811218,3.237509012,1.01972
2/15/20 10:39,0.0022712,0.043598,0.0125029,0.0031913,63.97834473,3.237411499,1.0027702
2/15/20 10:49,0.002915,0.0442539,0.0133631,0.0035989,64.67993851,3.237216234,0.9956129
2/15/20 10:59,0.002079,0.0407756,0.0077256,0.0027789,63.97834473,3.237118483,0.9339527
2/15/20 11:09,0.0033284,0.0464495,0.0083645,0.0026916,63.7444973,3.237411499,0.9929893
2/15/20 11:18,0.0024189,0.0523213,0.0100736,0.0029252,64.21219559,3.236923218,0.9787724
2/15/20 11:28,0.0027353,0.0443536,0.0081778,0.003142,63.90041046,3.236434698,0.9748255
2/15/20 11:38,0.0027716,0.0413595,0.0073659,0.002431,64.09529419,3.236727715,0.9635141
2/15/20 11:49,0.0025168,0.0460114,0.00905,0.0030938,64.13426132,3.236532211,0.9473411
2/15/20 11:59,0.0024363,0.0416758,0.010342,0.0028659,64.40707932,3.235946417,0.9725068
2/15/20 12:09,0.0017885,0.0481971,0.00778,0.0026452,64.32914505,3.236141682,1.013207
2/15/20 12:19,0.0012686,0.0415189,0.0091969,0.0032937,64.25116272,3.236239433,0.9848711
2/15/20 12:28,0.0029467,0.0429645,0.0072532,0.0027676,63.97834473,3.235653162,0.948555
2/15/20 12:38,0.0016406,0.0411877,0.0093223,0.0026184,64.25116272,3.235457897,1.0097607
2/15/20 12:48,0.0025426,0.0426335,0.0109401,0.0030793,64.17322845,3.235848665,0.9614716
2/15/20 12:59,0.0020244,0.0450535,0.0081095,0.0028735,63.97834473,3.235457897,0.9894681
2/15/20 13:09,0.0032249,0.0444659,0.0079206,0.0029738,64.05627899,3.23555541,0.9494238
2/15/20 13:19,0.0020982,0.0441948,0.0074433,0.0029112,64.01731186,3.235262632,0.9656026
2/15/20 13:29,0.0015347,0.038554,0.0086652,0.0031164,63.97834473,3.235360146,0.9735022
2/15/20 13:38,0.0026804,0.0424424,0.0110252,0.0029898,64.25116272,3.234871864,1.0092659
2/15/20 13:48,0.0018019,0.049341,0.0085088,0.0027317,64.05627899,3.235360146,0.9412999
2/15/20 13:58,0.0027897,0.0423412,0.0108437,0.0032742,63.97834473,3.234676361,0.9512937
2/15/20 14:09,0.0016697,0.0469222,0.0092218,0.0030238,63.97834473,3.234481096,0.982725
2/15/20 14:19,0.0025461,0.048727,0.0104384,0.0030758,64.32914505,3.234578609,0.9404829
2/15/20 14:29,0.0026917,0.0445273,0.0093988,0.0028994,64.17322845,3.233992815,0.9961364
2/15/20 14:39,0.0016577,0.0446882,0.011083,0.0031806,64.25116272,3.23369956,0.9665577
2/15/20 14:48,0.0019823,0.037974,0.0087118,0.0027701,63.8613987,3.233992815,1.057739
2/15/20 14:58,0.0027013,0.0429124,0.0079736,0.0026385,64.01731186,3.233895063,0.9856823
2/15/20 15:08,0.0023547,0.0452186,0.0088552,0.0030502,63.78346443,3.23418808,0.9609596
2/15/20 15:19,0.0025849,0.0520799,0.0093603,0.0030998,63.93937759,3.23369956,0.9825985
2/15/20 15:29,0.0025161,0.0558735,0.0113508,0.0032495,63.97834473,3.233504295,0.9771614
2/15/20 15:39,0.0029696,0.045239,0.0105121,0.0033749,64.13426132,3.233406544,0.927365
2/15/20 15:49,0.0018001,0.0396827,0.0091468,0.0031088,64.40707932,3.232722759,0.9964701
2/15/20 15:58,0.0016467,0.0451853,0.0099642,0.0031222,64.21219559,3.232722759,0.9459775
2/15/20 16:08,0.0018675,0.0499634,0.0074614,0.0025935,63.93937759,3.233601809,0.9609193
2/15/20 16:18,0.0027085,0.0492729,0.0093005,0.0030096,64.01731186,3.232136726,0.986787
2/15/20 16:28,0.001399,0.0390113,0.0107599,0.0026325,63.97834473,3.232234478,0.95913
2/15/20 16:39,0.0016929,0.0459953,0.0087078,0.0030195,64.17322845,3.232136726,0.9429281
2/15/20 16:49,0.0019526,0.0408308,0.0085126,0.0027639,64.21219559,3.23184371,0.9763962
2/15/20 16:59,0.0017162,0.0409148,0.0093402,0.0025616,64.17322845,3.231745958,0.9945427
2/15/20 17:08,0.0032674,0.0433873,0.0103337,0.0035019,64.13426132,3.232136726,0.9599527
2/15/20 17:18,0.0016921,0.0486764,0.0080791,0.0029058,63.90041046,3.232039213,1.0352256
2/15/20 17:28,0.0031504,0.0382149,0.0105826,0.0028794,64.09529419,3.231745958,1.0029601
2/15/20 17:38,0.0025353,0.0431862,0.010014,0.0034634,64.17322845,3.231159925,0.9527263
2/15/20 17:49,0.0016309,0.0405125,0.0071188,0.0027597,63.8613987,3.230769157,0.9723975
2/15/20 17:59,0.0021154,0.0507278,0.0083932,0.0033028,64.01731186,3.231257677,0.9936049
2/15/20 18:09,0.0017386,0.046061,0.0105712,0.0034588,64.40707932,3.231452942,1.0323316
2/15/20 18:19,0.0018042,0.0450795,0.0099853,0.0030056,64.05627899,3.230573893,0.941484
2/15/20 18:28,0.0015015,0.0412527,0.0092714,0.0028182,63.8613987,3.230671406,1.014421
2/15/20 18:38,0.0027685,0.0502004,0.0084673,0.0027635,63.93937759,3.230476141,0.9615694
2/15/20 18:48,0.0015153,0.0454867,0.0086728,0.0027211,64.13426132,3.230280876,1.002471
2/15/20 18:59,0.0024976,0.0470675,0.0077972,0.0028145,63.78346443,3.230866909,0.9387741
2/15/20 19:09,0.0024443,0.0429489,0.0087784,0.002966,63.90041046,3.230280876,1.0085409
2/15/20 19:19,0.0029312,0.0418452,0.0115468,0.0036012,64.21219559,3.230183125,0.9909813
2/15/20 19:29,0.0020902,0.049365,0.0099832,0.0027076,63.78346443,3.22949934,0.9771557
2/15/20 19:38,0.0031682,0.0412533,0.0104782,0.0033278,63.93937759,3.229792356,0.9275318
2/15/20 19:48,0.0023646,0.0534518,0.0084331,0.0027524,64.09529419,3.229597092,0.9792442
2/15/20 19:59,0.0019719,0.0401955,0.0080079,0.0030516,64.09529419,3.22949934,1.006999
2/15/20 20:09,0.0020952,0.0373378,0.0090186,0.0025255,63.7444973,3.229206324,0.9955668
2/15/20 20:19,0.001811,0.0410179,0.0071689,0.0025746,63.82243156,3.228717804,0.9788759
2/15/20 20:29,0.000904,0.043706,0.007163,0.0022241,63.8613987,3.22910881,1.0115155
2/15/20 20:38,0.001689,0.0443793,0.0078525,0.0024207,64.25116272,3.229011059,1.0185117
2/15/20 20:48,0.0026518,0.0463508,0.0080414,0.0029653,64.17322845,3.22949934,1.017758
2/15/20 20:58,0.001525,0.0435669,0.008498,0.0024618,63.78346443,3.228913307,0.9580311
2/15/20 21:09,0.0019387,0.0446444,0.008985,0.0028472,63.62755127,3.228717804,0.9362023
2/15/20 21:19,0.0013212,0.0394679,0.0076971,0.002481,63.8613987,3.228620291,0.980136
