Time (UTC),Band 1,Peak Acceleration, Peak Velocity,RMS Velocity,Temperature,Battery Voltage, Damage Accumulation
2/15/20 05:02,0.0020844,0.0436155,0.0075055,0.0028338,64.01565018,3.219633818,0.9706077
2/15/20 05:12,0.0014178,0.0400934,0.0096137,0.0033005,64.12135925,3.219926596,0.9460466
2/15/20 05:22,0.0031308,0.0501839,0.0108988,0.003302,64.15658417,3.220512867,0.9926581
2/15/20 05:32,0.0020835,0.0428044,0.0083259,0.0030194,63.55766792,3.21924305,0.9685969
2/15/20 05:41,0.0030232,0.040209,0.0092112,0.0032804,63.80426979,3.219438314,1.0205947
2/15/20 05:52,0.0018428,0.0416873,0.0090925,0.0029622,63.6633358,3.219145298,1.003425
2/15/20 06:02,0.0020748,0.0449384,0.0102144,0.0031445,63.38151245,3.219047546,0.996893
2/15/20 06:12,0.0037474,0.0484401,0.0126086,0.0036822,63.34624634,3.218852282,0.9250745
2/15/20 06:22,0.0012521,0.0416153,0.0100104,0.0032397,63.48718033,3.218559265,1.0245656
2/15/20 06:32,0.0022077,0.0472846,0.0094322,0.0034894,63.20535355,3.218461514,1.008317
2/15/20 06:42,0.0026429,0.0399465,0.0116321,0.0034735,63.27579994,3.218168497,0.9981286
2/15/20 06:51,0.0022165,0.0436958,0.0106002,0.0029894,63.17008743,3.217289448,0.9822001
2/15/20 07:02,0.0012977,0.0394876,0.0088133,0.0026493,63.06441956,3.217582464,0.9827056
2/15/20 07:12,0.002126,0.0405422,0.0113018,0.0033806,62.92348557,3.217093945,0.9834414
2/15/20 07:22,0.0042302,0.0479894,0.0135288,0.0038802,62.92348557,3.216703415,0.9691754
2/15/20 07:32,0.002517,0.044997,0.0107172,0.0035668,62.6768837,3.217093945,0.986025
2/15/20 07:42,0.0020756,0.0388704,0.0080712,0.002674,62.92348557,3.216605663,0.9660077
2/15/20 07:52,0.0019544,0.0468679,0.0100158,0.0030244,62.8530426,3.216117144,1.0229649
2/15/20 08:01,0.002302,0.0451893,0.0087152,0.0027852,62.8530426,3.216019392,1.0045651
2/15/20 08:12,0.001889,0.0422782,0.0097612,0.003176,62.74733009,3.215335846,1.0235883
2/15/20 08:22,0.002331,0.0413594,0.00891,0.0030627,62.74733009,3.215335846,1.0506543
2/15/20 08:32,0.0015163,0.0373155,0.0108492,0.0035318,62.6063961,3.215921879,0.9635814
2/15/20 08:42,0.0014814,0.0438816,0.0094724,0.0029044,62.6063961,3.214945078,0.9526629
2/15/20 08:52,0.0024526,0.0429054,0.0095873,0.00331,62.43024063,3.214749813,0.97901
2/15/20 09:02,0.0025406,0.0523222,0.0093547,0.0029294,62.28930664,3.21455431,1.0003134
2/15/20 09:12,0.0028814,0.0462575,0.0096007,0.0033518,62.43024063,3.214261293,0.9751683
2/15/20 09:22,0.0028957,0.0449342,0.0125599,0.0037665,62.43024063,3.21406579,0.9697371
2/15/20 09:32,0.0020951,0.0483635,0.0114029,0.0028127,62.71210861,3.214163542,1.0219314
2/15/20 09:42,0.0022157,0.0473182,0.0104271,0.0035017,62.35979424,3.214359045,1.0091482
2/15/20 09:52,0.0034145,0.0481479,0.0119349,0.0032304,62.25408173,3.213773012,0.9853285
2/15/20 10:02,0.0023876,0.0529656,0.0080816,0.0029535,62.14841385,3.213577509,1.0029869
2/15/20 10:12,0.0042229,0.0439686,0.0102028,0.003106,62.14841385,3.213382244,1.0050706
2/15/20 10:22,0.0024464,0.0444591,0.0086725,0.0028627,62.39501572,3.21269846,0.9994485
2/15/20 10:32,0.0020364,0.0470165,0.0106487,0.0030851,62.53594971,3.212796211,1.0124844
2/15/20 10:42,0.002126,0.0465527,0.0107725,0.0031474,62.32457275,3.21269846,0.963924
2/15/20 10:52,0.0021392,0.0433162,0.0082408,0.0030293,62.43024063,3.212405443,1.030081
2/15/20 11:02,0.0018811,0.0466525,0.0083062,0.002832,62.04270477,3.212014675,1.0287611
