Time (UTC),Band 1,Peak Acceleration, Peak Velocity,RMS Velocity,Temperature,Battery Voltage, Damage Accumulation
2/15/20 05:02,0.0026596,0.0421384,0.0089599,0.0030537,64.01565018,3.219633818,1.0012481
2/15/20 05:12,0.0021423,0.0479212,0.0069609,0.0027021,64.12135925,3.219926596,1.0113088
2/15/20 05:22,0.0020929,0.0399028,0.0083008,0.0027271,64.15658417,3.220512867,1.0060244
2/15/20 05:32,0.0013786,0.0472512,0.0075094,0.0026049,63.55766792,3.21924305,1.0468393
2/15/20 05:41,0.0021011,0.0408278,0.0099562,0.0028075,63.80426979,3.219438314,1.006766
2/15/20 05:52,0.0028645,0.0381945,0.0109379,0.0031684,63.6633358,3.219145298,0.9891671
2/15/20 06:02,0.0032986,0.0431993,0.0098193,0.0035342,63.38151245,3.219047546,1.0296492
2/15/20 06:12,0.0025384,0.0441732,0.0093663,0.0032128,63.34624634,3.218852282,0.9961915
2/15/20 06:22,0.002007,0.0385934,0.0077404,0.0030123,63.48718033,3.218559265,0.9343211
2/15/20 06:32,0.003052,0.0482001,0.0084066,0.0030194,63.20535355,3.218461514,1.0221168
2/15/20 06:42,0.0017232,0.0399956,0.007103,0.0025845,63.27579994,3.218168497,1.0106022
2/15/20 06:51,0.0019094,0.0510678,0.0093998,0.0027985,63.17008743,3.217289448,1.0401594
2/15/20 07:02,0.0021724,0.0429767,0.0087926,0.0029431,63.06441956,3.217582464,1.030998
2/15/20 07:12,0.0020059,0.0395184,0.010546,0.0029802,62.92348557,3.217093945,1.0595976
2/15/20 07:22,0.0032185,0.046333,0.0100411,0.0036301,62.92348557,3.216703415,1.0171069
2/15/20 07:32,0.0030164,0.0520311,0.008303,0.0028392,62.6768837,3.217093945,1.0015926
2/15/20 07:42,0.0022714,0.0478661,0.0104089,0.0029734,62.92348557,3.216605663,0.9957127
2/15/20 07:52,0.003201,0.0480778,0.0091515,0.0030717,62.8530426,3.216117144,1.0069937
2/15/20 08:02,0.00165,0.0452225,0.0086697,0.0027169,62.8530426,3.216019392,1.0010437
2/15/20 08:12,0.0020189,0.046429,0.0103924,0.0032065,62.74733009,3.215335846,1.0138429
2/15/20 08:22,0.0012797,0.0481671,0.0096625,0.002823,62.74733009,3.215335846,1.0147888
2/15/20 08:32,0.0020294,0.0469339,0.0102456,0.0030745,62.6063961,3.215921879,0.9789372
2/15/20 08:42,0.0023585,0.0493961,0.0099477,0.0028703,62.6063961,3.214945078,1.0118576
2/15/20 08:52,0.0017569,0.0432896,0.0081479,0.0027765,62.43024063,3.214749813,1.001867
2/15/20 09:02,0.0031586,0.0431734,0.0089389,0.0028767,62.28930664,3.21455431,1.0600005
2/15/20 09:12,0.0016692,0.0426236,0.0084868,0.0029086,62.43024063,3.214261293,1.0620091
2/15/20 09:22,0.0017528,0.0483143,0.0082913,0.0026272,62.43024063,3.21406579,1.0524798
2/15/20 09:32,0.0022329,0.0456548,0.010189,0.0031391,62.71210861,3.214163542,0.9729171
2/15/20 09:42,0.0025314,0.0361572,0.0102421,0.0033535,62.35979424,3.214359045,0.9765081
2/15/20 09:52,0.0035321,0.0448458,0.0090621,0.0032429,62.25408173,3.213773012,1.0051252
2/15/20 10:02,0.0027667,0.0523259,0.0101818,0.0032844,62.14841385,3.213577509,1.0204994
2/15/20 10:12,0.0023672,0.0424635,0.0102767,0.0030528,62.14841385,3.213382244,0.9375618
2/15/20 10:22,0.0018631,0.0574716,0.0081016,0.0023713,62.39501572,3.21269846,1.0490056
2/15/20 10:32,0.0024218,0.0385964,0.0087472,0.0033816,62.53594971,3.212796211,0.9575955
