Time (UTC),Band 1,Peak Acceleration, Peak Velocity, RMS Velocity,Temperature, Battery Voltage,Damage Accumulation
2/15/20 05:08,0.0032287,0.0488248,0.0182531,0.0056292,63.08333321,3.233992815,0.9987726
2/15/20 05:18,0.0052199,0.0463485,0.0179986,0.0065285,62.53333359,3.233992815,0.9852198
2/15/20 05:28,0.0048614,0.0508436,0.0170912,0.0052802,62.82668228,3.233992815,0.9585527
2/15/20 05:38,0.0049413,0.0501895,0.0163916,0.0052979,62.38665924,3.233992815,0.9788923
2/15/20 05:49,0.0038719,0.0537592,0.0168194,0.0057947,62.90000229,3.233211279,0.992466
2/15/20 05:59,0.0052751,0.050458,0.0178514,0.0055098,62.46002045,3.233016014,0.9725231
2/15/20 06:09,0.0047706,0.0439139,0.0187069,0.0054847,62.68000793,3.232722759,0.9828391
2/15/20 06:19,0.0036812,0.0473788,0.0139165,0.0049681,62.60664673,3.23233223,1.0140795
2/15/20 06:28,0.0034049,0.044236,0.0131132,0.004569,62.90000229,3.232429743,0.9945125
2/15/20 06:38,0.0027523,0.0526245,0.0160327,0.0047076,62.56999359,3.23233223,0.9811894
2/15/20 06:48,0.0048544,0.0485341,0.0157281,0.0052211,62.38665924,3.232429743,1.0290105
2/15/20 06:59,0.0055742,0.044519,0.0202885,0.0056557,62.60664673,3.232039213,0.9859924
2/15/20 07:09,0.0070076,0.0587925,0.015562,0.0056537,62.46002045,3.231648207,0.9992737
2/15/20 07:19,0.0042562,0.0534869,0.0149826,0.0053374,62.82668228,3.231452942,0.9744443
2/15/20 07:29,0.0028862,0.0547398,0.0136935,0.0045731,62.34999924,3.231550694,0.9779735
2/15/20 07:38,0.0062888,0.044537,0.0214896,0.0056333,62.31334267,3.231452942,0.9830688
2/15/20 07:48,0.0035403,0.0488903,0.016289,0.0053998,62.49667358,3.230378628,0.9796441
2/15/20 07:58,0.0029693,0.0543788,0.0230525,0.0054323,62.34999924,3.231159925,0.998877
2/15/20 08:09,0.0052967,0.0399228,0.015116,0.0053937,62.42331581,3.230183125,0.9968514
2/15/20 08:19,0.0050623,0.0485104,0.0178508,0.0052553,62.42331581,3.230476141,0.9803959
2/15/20 08:29,0.0038243,0.0450582,0.0210015,0.0060581,62.2766861,3.230280876,0.9799573
2/15/20 08:39,0.0030108,0.0490942,0.014657,0.0044403,62.34999924,3.229694605,1.006165
2/15/20 08:48,0.0045817,0.0445034,0.0142514,0.0048998,62.34999924,3.230183125,0.9944081
2/15/20 08:58,0.0053819,0.0424791,0.0178774,0.0056236,62.60664673,3.22949934,1.0029282
2/15/20 09:08,0.0030625,0.0505428,0.0161242,0.0048146,62.34999924,3.229206324,0.992299
2/15/20 09:19,0.0029753,0.0446414,0.0182034,0.0048786,62.49667358,3.229304075,1.0235811
2/15/20 09:29,0.0046332,0.0513147,0.0176128,0.0055479,62.42331581,3.22910881,0.9831941
2/15/20 09:39,0.0044069,0.0531134,0.0150604,0.0052375,62.49667358,3.228913307,1.0006102
2/15/20 09:49,0.0058281,0.0565618,0.0159085,0.0056107,62.2766861,3.228620291,1.031955
2/15/20 09:58,0.004242,0.0477888,0.0169461,0.0057899,62.34999924,3.228425026,0.9730243
2/15/20 10:08,0.0068526,0.0513573,0.0157525,0.0055325,62.13001175,3.229011059,1.0079609
2/15/20 10:18,0.0028693,0.0508243,0.0130726,0.0048242,62.31334267,3.228229523,0.9838833
2/15/20 10:28,0.0067999,0.0428137,0.0140681,0.0054207,62.09335175,3.227936506,0.9961622
2/15/20 10:39,0.0026177,0.043525,0.0148225,0.0049237,62.68000793,3.227350473,0.9861595
2/15/20 10:49,0.0051857,0.0492919,0.0139738,0.0052517,62.13001175,3.22764349,1.0056847
2/15/20 10:59,0.0045005,0.0478191,0.0160945,0.0050504,62.34999924,3.227838755,1.0086291
2/15/20 11:09,0.002814,0.0465517,0.0136497,0.0047969,62.20332489,3.226959705,0.9816697
2/15/20 11:18,0.0048273,0.0489041,0.0174043,0.0051105,62.16666489,3.226764202,0.9716252
2/15/20 11:28,0.0023877,0.0499366,0.0164512,0.0054535,62.20332489,3.226568937,0.9549609
2/15/20 11:38,0.0027189,0.0511677,0.0160803,0.005334,62.23998489,3.226568937,0.9922781
2/15/20 11:49,0.0045711,0.0465983,0.018465,0.0050913,62.46002045,3.226080656,0.9940949
2/15/20 11:59,0.0050966,0.0433222,0.0164436,0.0050079,62.42331581,3.225689888,0.9860133
2/15/20 12:09,0.0033839,0.0530066,0.0192233,0.0053258,62.31334267,3.225982904,1.0065409
2/15/20 12:19,0.0032586,0.0432947,0.0172452,0.0052766,62.2766861,3.226080656,0.9805003
2/15/20 12:28,0.0035363,0.0417168,0.0187231,0.0047215,62.23998489,3.225494623,0.9725858
2/15/20 12:38,0.0041925,0.0450672,0.0197697,0.0052004,62.56999359,3.225201607,0.9906283
2/15/20 12:48,0.0027645,0.0461938,0.0195011,0.0051551,62.31334267,3.225201607,1.0061023
2/15/20 12:59,0.0050527,0.0451534,0.0159374,0.0046136,62.38665924,3.225201607,0.9766997
2/15/20 13:09,0.0073046,0.041792,0.0193686,0.0058792,62.53333359,3.225396872,0.9984176
2/15/20 13:19,0.0028031,0.0466473,0.0191798,0.0056683,62.78998108,3.224224806,1.00297
2/15/20 13:29,0.0040831,0.0493633,0.0141363,0.0053859,62.2766861,3.224224806,0.976825
2/15/20 13:38,0.0045465,0.0440734,0.0161733,0.0054454,62.34999924,3.224420071,0.9869112
2/15/20 13:48,0.0031683,0.0478769,0.0164351,0.0052083,62.34999924,3.223931551,0.9969767
2/15/20 13:58,0.0055248,0.0491383,0.0214794,0.0056643,62.34999924,3.224127054,0.9616642
2/15/20 14:09,0.0024201,0.0486826,0.0121961,0.003904,62.46002045,3.224029303,0.9870783
2/15/20 14:19,0.0043581,0.0394912,0.0133069,0.0048658,62.2766861,3.223150253,0.9678454
2/15/20 14:29,0.0033527,0.0493512,0.0208063,0.0052338,62.34999924,3.223638535,0.9729826
2/15/20 14:39,0.0029129,0.0471423,0.0184929,0.0053742,62.31334267,3.222661734,1.0254814
2/15/20 14:48,0.0022563,0.0467235,0.0186853,0.0050237,62.49667358,3.22256422,0.9729199
2/15/20 14:58,0.0046465,0.0528242,0.016795,0.0056014,62.05665054,3.22295475,0.9757182
2/15/20 15:08,0.0051386,0.0469617,0.018188,0.0058965,62.20332489,3.222661734,0.9621445
