Time (UTC),Band 1,Peak Acceleration, Peak Velocity, RMS Velocity,Temperature, Battery Voltage,Damage Accumulation
2/15/20 05:08,0.003376,0.0402306,0.0116185,0.0042207,63.08333321,3.233992815,1.0356364
2/15/20 05:18,0.0030283,0.0491428,0.0144613,0.0040188,62.53333359,3.233992815,1.0158711
2/15/20 05:28,0.0046084,0.0453545,0.0154488,0.0050041,62.82668228,3.233992815,1.0365138
2/15/20 05:38,0.0033971,0.0418329,0.0173142,0.004227,62.38665924,3.233992815,1.0276595
2/15/20 05:49,0.002492,0.0413265,0.0121232,0.0046653,62.90000229,3.233211279,1.051461
2/15/20 05:59,0.003773,0.0404136,0.0134992,0.0049552,62.46002045,3.233016014,1.0226582
2/15/20 06:09,0.0033434,0.0461433,0.0132021,0.0043745,62.68000793,3.232722759,1.0349602
2/15/20 06:19,0.0036893,0.0408374,0.0150933,0.0051765,62.60664673,3.23233223,1.0309396
2/15/20 06:28,0.0053432,0.045374,0.0138491,0.0047082,62.90000229,3.232429743,1.0325912
2/15/20 06:38,0.0032615,0.0420535,0.0190579,0.00517,62.56999359,3.23233223,1.0334635
2/15/20 06:48,0.0038918,0.0414058,0.0186332,0.0058458,62.38665924,3.232429743,1.0332518
2/15/20 06:59,0.00305,0.0516069,0.0152023,0.0040107,62.60664673,3.232039213,1.0493294
2/15/20 07:09,0.0043662,0.0433293,0.0125689,0.0046078,62.46002045,3.231648207,1.0574482
2/15/20 07:19,0.0035718,0.048022,0.0138,0.0043157,62.82668228,3.231452942,1.0295021
2/15/20 07:29,0.0033676,0.0442176,0.0162737,0.0052162,62.34999924,3.231550694,1.0284931
2/15/20 07:38,0.0028619,0.0430429,0.0148757,0.0048799,62.31334267,3.231452942,1.0397138
2/15/20 07:48,0.003747,0.0461383,0.0198555,0.0049547,62.49667358,3.230378628,1.0326506
2/15/20 07:58,0.0034251,0.0503779,0.0147524,0.0055186,62.34999924,3.231159925,1.0798974
2/15/20 08:09,0.0034147,0.0454551,0.0127476,0.0044548,62.42331581,3.230183125,1.0617759
2/15/20 08:19,0.0024899,0.0501304,0.0201219,0.0045217,62.42331581,3.230476141,1.0776083
2/15/20 08:29,0.0026211,0.0445747,0.0164317,0.0053438,62.2766861,3.230280876,1.020524
2/15/20 08:39,0.0035683,0.0406798,0.0136481,0.0043526,62.34999924,3.229694605,1.0527823
2/15/20 08:48,0.0024699,0.0415492,0.0149864,0.0041397,62.34999924,3.230183125,1.0561527
2/15/20 08:58,0.0040145,0.0401363,0.0150273,0.0050587,62.60664673,3.22949934,1.020653
2/15/20 09:08,0.0027811,0.0402233,0.0169311,0.0045682,62.34999924,3.229206324,1.0273266
2/15/20 09:19,0.0037615,0.0417165,0.0202846,0.005969,62.49667358,3.229304075,1.0278712
2/15/20 09:29,0.0036128,0.0443259,0.0142566,0.0054203,62.42331581,3.22910881,1.0739051
