Time (UTC),Band 1,Peak Acceleration, Peak Velocity, RMS Velocity,Temperature, Battery Voltage,Damage Accumulation
2/15/20 05:09,0.0028611,0.0289761,0.0172062,0.0042797,65.62163849,3.245714426,0.3753436
2/15/20 05:18,0.0058991,0.0344743,0.015452,0.0055444,65.62163849,3.245714426,0.3645496
2/15/20 05:28,0.0044538,0.0377887,0.0142716,0.0045348,65.85980835,3.245909691,0.3574632
2/15/20 05:38,0.0021139,0.034299,0.0176556,0.0051255,65.58762894,3.245518923,0.3770766
2/15/20 05:49,0.0038106,0.0332215,0.0140633,0.0047836,65.51960297,3.245518923,0.3464225
2/15/20 05:59,0.0047511,0.0379664,0.0179874,0.0051769,65.79174461,3.24493289,0.3738274
2/15/20 06:09,0.0043186,0.0337828,0.0120218,0.0041663,65.79174461,3.244835138,0.365347
2/15/20 06:19,0.0035152,0.031623,0.0147782,0.0049461,65.65565491,3.244737625,0.3669337
2/15/20 06:28,0.0029007,0.038074,0.0123299,0.0044482,65.92783432,3.245518923,0.3548597
2/15/20 06:38,0.0028963,0.0386619,0.0206193,0.0056438,65.79174461,3.244151354,0.3723387
2/15/20 06:48,0.0036926,0.0338479,0.0151983,0.0047395,65.51960297,3.244151354,0.3696673
2/15/20 06:59,0.0039719,0.033087,0.0141451,0.0046891,65.85980835,3.244249105,0.3702205
2/15/20 07:09,0.0031977,0.0357028,0.013701,0.0045855,65.55361595,3.244542122,0.3666977
2/15/20 07:19,0.0037182,0.039193,0.0128717,0.0043039,65.55361595,3.244346619,0.3784461
2/15/20 07:29,0.0041623,0.0342153,0.0168344,0.0048927,65.8257576,3.243369818,0.3566143
2/15/20 07:39,0.003394,0.0318562,0.0168536,0.0049555,65.72372208,3.243369818,0.3671071
2/15/20 07:48,0.0030337,0.0368044,0.0138409,0.0045247,65.55361595,3.243467569,0.3521341
2/15/20 07:58,0.0033958,0.0409042,0.0147703,0.0044862,65.68970566,3.24307704,0.3596545
2/15/20 08:09,0.0030197,0.0292971,0.0160878,0.0051194,65.51960297,3.243369818,0.3627272
2/15/20 08:19,0.0039845,0.0318768,0.015645,0.0046786,65.55361595,3.242490768,0.3685472
2/15/20 08:29,0.0068159,0.0331596,0.0148084,0.0048706,65.85980835,3.24258852,0.3644331
2/15/20 08:39,0.0029413,0.03272,0.0182266,0.0046901,65.34950027,3.242295504,0.3697622
2/15/20 08:49,0.002227,0.0310106,0.0147588,0.0045497,65.41752625,3.242100239,0.3499428
2/15/20 08:58,0.0042565,0.0345812,0.0159367,0.0052476,65.72372208,3.242393017,0.3619733
2/15/20 09:08,0.0046987,0.0330819,0.0159051,0.0048124,65.8257576,3.242197752,0.3642568
2/15/20 09:19,0.003445,0.037564,0.012225,0.0043895,65.62163849,3.241807222,0.3513259
2/15/20 09:29,0.0034258,0.0291983,0.0132048,0.0042549,66.13195,3.241220951,0.3823106
2/15/20 09:39,0.0038679,0.0362333,0.0121917,0.0039712,65.68970566,3.241513968,0.3611867
2/15/20 09:49,0.0048615,0.0319278,0.0170788,0.0053922,65.55361595,3.241318703,0.3469216
2/15/20 09:59,0.003335,0.0301235,0.0133299,0.0043901,65.79174461,3.241123438,0.3633944
2/15/20 10:08,0.003348,0.0345454,0.0166907,0.0048985,65.21341057,3.240439415,0.3845644
2/15/20 10:18,0.0044173,0.0311862,0.0149028,0.005259,65.65565491,3.24073267,0.3497854
2/15/20 10:28,0.0056736,0.0311691,0.0132633,0.0051419,65.48555222,3.240634918,0.3641619
2/15/20 10:39,0.0034327,0.0384884,0.017568,0.0048511,65.75773163,3.241318703,0.3642053
2/15/20 10:49,0.003652,0.0334535,0.0144873,0.004661,65.79174461,3.240927935,0.3643654
2/15/20 10:59,0.0056515,0.0303417,0.0178105,0.0058706,65.51960297,3.240634918,0.3536962
2/15/20 11:09,0.0040951,0.0308264,0.0138969,0.0045261,65.41752625,3.240537167,0.374972
2/15/20 11:18,0.0038379,0.0353565,0.0161456,0.0049741,65.58762894,3.240341902,0.3803336
2/15/20 11:28,0.0045769,0.0323971,0.0122473,0.0045182,65.68970566,3.239951134,0.3765558
2/15/20 11:38,0.0031151,0.0333934,0.0127128,0.0044233,65.79174461,3.240146637,0.3655721
2/15/20 11:49,0.0031908,0.0388969,0.0170927,0.0048819,65.8257576,3.239658117,0.3638906
2/15/20 11:59,0.0038806,0.0362167,0.0128379,0.0043743,65.51960297,3.239658117,0.3560746
2/15/20 12:09,0.0042988,0.0364798,0.0147287,0.004667,65.65565491,3.239658117,0.3717772
2/15/20 12:19,0.0030558,0.033344,0.011141,0.004279,65.68970566,3.239267349,0.3627407
2/15/20 12:29,0.0046985,0.0313822,0.0178254,0.0051006,65.65565491,3.239267349,0.3646662
2/15/20 12:38,0.0024593,0.0325671,0.0128572,0.0037879,65.4515358,3.238583565,0.3688347
2/15/20 12:48,0.0046367,0.0306023,0.0139716,0.0054116,65.1453434,3.239365101,0.3477514
2/15/20 12:59,0.0034113,0.0327067,0.0149782,0.0044935,65.96184731,3.239365101,0.3486356
2/15/20 13:09,0.0025578,0.0349607,0.0110082,0.0045405,66.02991104,3.238779068,0.3711751
2/15/20 13:19,0.0062217,0.0354472,0.0164419,0.0052055,65.79174461,3.238485813,0.340372
2/15/20 13:29,0.0049799,0.0434852,0.0145968,0.0050079,65.85980835,3.238290548,0.3740797
2/15/20 13:39,0.0032205,0.032347,0.0181768,0.0055428,65.51960297,3.2383883,0.3683248
2/15/20 13:48,0.004267,0.035671,0.0163594,0.0051502,65.79174461,3.237802267,0.3596192
2/15/20 13:58,0.0039724,0.0416937,0.0170433,0.004909,65.79174461,3.237997532,0.3719941
2/15/20 14:09,0.0024218,0.0304317,0.0179061,0.0042518,66.09793701,3.237997532,0.3648073
2/15/20 14:19,0.0031047,0.0331196,0.0136067,0.0043525,65.75773163,3.237704515,0.3549655
2/15/20 14:29,0.0022946,0.0325381,0.0184395,0.0053346,66.06392746,3.237606764,0.3721677
2/15/20 14:39,0.0036086,0.0356234,0.0159047,0.0051683,65.99586029,3.237509012,0.360959
2/15/20 14:49,0.0056575,0.0314401,0.0137242,0.0044822,65.79174461,3.236825466,0.3430406
2/15/20 14:58,0.0035453,0.0300261,0.0163482,0.0055074,65.92783432,3.237118483,0.3547457
2/15/20 15:08,0.0025206,0.034466,0.0146939,0.004586,65.51960297,3.237313747,0.3623584
2/15/20 15:19,0.0058921,0.0361183,0.0174424,0.0053947,65.58762894,3.236727715,0.3510573
2/15/20 15:29,0.0047029,0.03209,0.0122705,0.0036794,65.55361595,3.236532211,0.3677986
2/15/20 15:39,0.0051786,0.0375687,0.0141039,0.0045238,66.02991104,3.236239433,0.3687181
2/15/20 15:49,0.0029628,0.0309092,0.014625,0.0048278,65.92783432,3.236336946,0.3590037
2/15/20 15:59,0.0047116,0.0319813,0.0166515,0.0048102,65.92783432,3.236336946,0.3537125
2/15/20 16:08,0.0030865,0.0373493,0.0125001,0.0046274,65.79174461,3.23604393,0.361702
2/15/20 16:18,0.0032139,0.0324388,0.0120706,0.0040456,65.48555222,3.236532211,0.3606118
2/15/20 16:28,0.0024458,0.0312729,0.0180507,0.0049959,65.72372208,3.236239433,0.3516052
2/15/20 16:39,0.0032124,0.0353323,0.0143791,0.0047792,65.48555222,3.236141682,0.3752188
2/15/20 16:49,0.0071271,0.0329381,0.0207227,0.0048652,65.65565491,3.235457897,0.3536799
2/15/20 16:59,0.0027375,0.0278822,0.0123176,0.0037435,65.24742355,3.23555541,0.3726315
2/15/20 17:09,0.0022998,0.0365193,0.0124654,0.0039277,65.89382477,3.235653162,0.3619298
