Time (UTC),Band 1,Peak Acceleration, Peak Velocity, RMS Velocity,Temperature, Battery Voltage,Damage Accumulation
2/15/20 05:09,0.0024617,0.0296664,0.0127583,0.0043411,65.62163849,3.245714426,0.3682643
2/15/20 05:18,0.0020057,0.0302537,0.011738,0.0036731,65.62163849,3.245714426,0.3641104
2/15/20 05:28,0.0040133,0.0288175,0.0115973,0.0042443,65.85980835,3.245909691,0.3613421
2/15/20 05:38,0.0037381,0.0356939,0.0164879,0.0051853,65.58762894,3.245518923,0.3710146
2/15/20 05:49,0.0036123,0.0368338,0.015616,0.0050881,65.51960297,3.245518923,0.362878
2/15/20 05:59,0.0063433,0.0311459,0.0146116,0.0055928,65.79174461,3.24493289,0.3745373
2/15/20 06:09,0.0052448,0.0328598,0.0160995,0.0054554,65.79174461,3.244835138,0.3643899
2/15/20 06:19,0.003577,0.0309742,0.0101016,0.0037633,65.65565491,3.244737625,0.3733019
2/15/20 06:28,0.0019298,0.0275113,0.0133732,0.0045402,65.92783432,3.245518923,0.3522978
2/15/20 06:38,0.0026659,0.0354881,0.0111286,0.0041092,65.79174461,3.244151354,0.3577953
2/15/20 06:48,0.0039783,0.0291304,0.0145046,0.0040136,65.51960297,3.244151354,0.3686821
2/15/20 06:59,0.0034439,0.0288319,0.0126856,0.004542,65.85980835,3.244249105,0.3694365
2/15/20 07:09,0.0053474,0.029168,0.0154866,0.0047122,65.55361595,3.244542122,0.3704104
2/15/20 07:19,0.0025417,0.0298866,0.0120622,0.0035139,65.55361595,3.244346619,0.35188
2/15/20 07:29,0.0027582,0.0358015,0.013144,0.003586,65.8257576,3.243369818,0.3599835
2/15/20 07:39,0.0039127,0.031708,0.0137277,0.0047643,65.72372208,3.243369818,0.3677443
2/15/20 07:48,0.0024521,0.0334335,0.0132132,0.0044425,65.55361595,3.243467569,0.3490185
2/15/20 07:58,0.0028615,0.0297839,0.013101,0.0040647,65.68970566,3.24307704,0.3679968
2/15/20 08:09,0.0036283,0.0311833,0.0152929,0.0048473,65.51960297,3.243369818,0.3557784
2/15/20 08:19,0.0040679,0.0329744,0.0134687,0.0044365,65.55361595,3.242490768,0.359211
2/15/20 08:29,0.0021988,0.0303945,0.0125536,0.0035238,65.85980835,3.24258852,0.3741736
2/15/20 08:39,0.0060548,0.0315575,0.0155643,0.0050087,65.34950027,3.242295504,0.3532326
2/15/20 08:49,0.0024462,0.0294499,0.0123492,0.0042786,65.41752625,3.242100239,0.3631335
2/15/20 08:58,0.0041041,0.0299724,0.0134346,0.0043973,65.72372208,3.242393017,0.3595567
2/15/20 09:08,0.0047832,0.0313198,0.012925,0.0043742,65.8257576,3.242197752,0.374378
2/15/20 09:19,0.003355,0.0294034,0.0150039,0.0047563,65.62163849,3.241807222,0.3495746
2/15/20 09:29,0.0023286,0.0304541,0.0132555,0.0040042,66.13195,3.241220951,0.3684927
2/15/20 09:39,0.0053742,0.0266304,0.014718,0.0047479,65.68970566,3.241513968,0.3739963
2/15/20 09:49,0.0038936,0.0303928,0.011024,0.0038343,65.55361595,3.241318703,0.350855
2/15/20 09:59,0.005127,0.0345125,0.0164174,0.0052953,65.79174461,3.241123438,0.3582732
2/15/20 10:08,0.0028974,0.0339427,0.0131837,0.0047374,65.21341057,3.240439415,0.3703834
2/15/20 10:18,0.0025527,0.0323056,0.0145278,0.0042314,65.65565491,3.24073267,0.359199
2/15/20 10:28,0.0033792,0.0386556,0.0144815,0.0043518,65.48555222,3.240634918,0.3865362
2/15/20 10:39,0.0038263,0.0417242,0.0135225,0.0045733,65.75773163,3.241318703,0.3521655
2/15/20 10:49,0.0042235,0.032701,0.0133175,0.0046413,65.79174461,3.240927935,0.363386
2/15/20 10:59,0.0035413,0.0293678,0.0146162,0.0041485,65.51960297,3.240634918,0.3759169
2/15/20 11:09,0.0030068,0.0320319,0.0112747,0.0043144,65.41752625,3.240537167,0.383768
2/15/20 11:18,0.0037317,0.0287588,0.0163297,0.0044921,65.58762894,3.240341902,0.3660761
2/15/20 11:28,0.0037678,0.0279158,0.0179006,0.0046651,65.68970566,3.239951134,0.3695357
2/15/20 11:38,0.0035086,0.0324787,0.0123864,0.0043526,65.79174461,3.240146637,0.3668276
2/15/20 11:49,0.0032472,0.0248415,0.0141656,0.0045356,65.8257576,3.239658117,0.3598963
2/15/20 11:59,0.00374,0.0275243,0.0116448,0.0036344,65.51960297,3.239658117,0.353981
2/15/20 12:09,0.0037186,0.0300135,0.0141919,0.004499,65.65565491,3.239658117,0.3593943
2/15/20 12:19,0.002636,0.0314699,0.0145488,0.0040067,65.68970566,3.239267349,0.3546663
2/15/20 12:29,0.0043268,0.0278508,0.0131787,0.0044405,65.65565491,3.239267349,0.3530011
2/15/20 12:38,0.0037679,0.0282209,0.0147706,0.0052228,65.4515358,3.238583565,0.3511826
2/15/20 12:48,0.0038355,0.0291307,0.0145208,0.0045567,65.1453434,3.239365101,0.3598723
2/15/20 12:59,,,,,65.96184731,3.239365101,
2/15/20 13:09,0.0029589,0.0285999,0.0146907,0.0040568,66.02991104,3.238779068,0.3804977
2/15/20 13:19,0.0023392,0.0363335,0.0139101,0.0045459,65.79174461,3.238485813,0.3756134
2/15/20 13:29,0.0046426,0.0294914,0.0148318,0.0045445,65.85980835,3.238290548,0.3684988
