Machines > Drill Press > MIB > X-Horizontal > Peak Acceleration,,,Machines > Drill Press > MIB > X-Horizontal > Peak Velocity,,,Machines > Drill Press > MIB > Y-Radial > Band 1,,,Machines > Drill Press > MIB > Y-Radial > Damage Accumulation,,,Machines > Drill Press > MIB > Y-Radial > Peak Acceleration,,,Machines > Drill Press > MIB > Y-Radial > Peak Velocity,,,Machines > Drill Press > MIB > X-Horizontal > Band 1,,,Machines > Drill Press > MIB > X-Horizontal > Damage Accumulation,,,Machines > Drill Press > MIB > Y-Radial > RMS Velocity,,,Machines > Drill Press > MIB > Y-Radial > Temperature,,,Machines > Drill Press > MIB > X-Horizontal > RMS Velocity,,,Machines > Drill Press > MIB > X-Horizontal > Temperature,,,Machines > Drill Press > MIB > Battery Voltage,
Time (UTC), Avg(g),,Time (UTC), Avg(in/sec),,Time (UTC), Avg(in/sec),,Time (UTC), Avg(Damage),,Time (UTC), Avg(g),,Time (UTC), Avg(in/sec),,Time (UTC), Avg(in/sec),,Time (UTC), Avg(Damage),,Time (UTC), Avg(in/sec),,Time (UTC), Avg(°F),,Time (UTC), Avg(in/sec),,Time (UTC), Avg(°F),,Time (UTC), Avg(V)
2/15/20 05:09,0.0289761,,2/15/20 05:09,0.0172062,,2/15/20 05:09,0.0024617,,2/15/20 05:09,0.3682643,,2/15/20 05:09,0.0296664,,2/15/20 05:09,0.0127583,,2/15/20 05:09,0.0028611,,2/15/20 05:09,0.3753436,,2/15/20 05:09,0.0043411,,2/15/20 05:09,65.62163849,,2/15/20 05:09,0.0042797,,2/15/20 05:09,65.62163849,,2/15/20 05:09,3.245714426
2/15/20 05:18,0.0344743,,2/15/20 05:18,0.015452,,2/15/20 05:18,0.0020057,,2/15/20 05:18,0.3641104,,2/15/20 05:18,0.0302537,,2/15/20 05:18,0.011738,,2/15/20 05:18,0.0058991,,2/15/20 05:18,0.3645496,,2/15/20 05:18,0.0036731,,2/15/20 05:19,65.62163849,,2/15/20 05:18,0.0055444,,2/15/20 05:19,65.62163849,,2/15/20 05:19,3.245714426
2/15/20 05:28,0.0377887,,2/15/20 05:28,0.0142716,,2/15/20 05:28,0.0040133,,2/15/20 05:28,0.3613421,,2/15/20 05:28,0.0288175,,2/15/20 05:28,0.0115973,,2/15/20 05:28,0.0044538,,2/15/20 05:28,0.3574632,,2/15/20 05:28,0.0042443,,2/15/20 05:29,65.85980835,,2/15/20 05:28,0.0045348,,2/15/20 05:29,65.85980835,,2/15/20 05:29,3.245909691
2/15/20 05:38,0.034299,,2/15/20 05:38,0.0176556,,2/15/20 05:38,0.0037381,,2/15/20 05:38,0.3710146,,2/15/20 05:38,0.0356939,,2/15/20 05:38,0.0164879,,2/15/20 05:38,0.0021139,,2/15/20 05:38,0.3770766,,2/15/20 05:38,0.0051853,,2/15/20 05:39,65.58762894,,2/15/20 05:38,0.0051255,,2/15/20 05:39,65.58762894,,2/15/20 05:39,3.245518923
2/15/20 05:49,0.0332215,,2/15/20 05:49,0.0140633,,2/15/20 05:49,0.0036123,,2/15/20 05:49,0.362878,,2/15/20 05:49,0.0368338,,2/15/20 05:49,0.015616,,2/15/20 05:49,0.0038106,,2/15/20 05:49,0.3464225,,2/15/20 05:49,0.0050881,,2/15/20 05:49,65.51960297,,2/15/20 05:49,0.0047836,,2/15/20 05:49,65.51960297,,2/15/20 05:49,3.245518923
2/15/20 05:59,0.0379664,,2/15/20 05:59,0.0179874,,2/15/20 05:59,0.0063433,,2/15/20 05:59,0.3745373,,2/15/20 05:59,0.0311459,,2/15/20 05:59,0.0146116,,2/15/20 05:59,0.0047511,,2/15/20 05:59,0.3738274,,2/15/20 05:59,0.0055928,,2/15/20 05:59,65.79174461,,2/15/20 05:59,0.0051769,,2/15/20 05:59,65.79174461,,2/15/20 05:59,3.24493289
2/15/20 06:09,0.0337828,,2/15/20 06:09,0.0120218,,2/15/20 06:09,0.0052448,,2/15/20 06:09,0.3643899,,2/15/20 06:09,0.0328598,,2/15/20 06:09,0.0160995,,2/15/20 06:09,0.0043186,,2/15/20 06:09,0.365347,,2/15/20 06:09,0.0054554,,2/15/20 06:09,65.79174461,,2/15/20 06:09,0.0041663,,2/15/20 06:09,65.79174461,,2/15/20 06:09,3.244835138
2/15/20 06:19,0.031623,,2/15/20 06:19,0.0147782,,2/15/20 06:19,0.003577,,2/15/20 06:19,0.3733019,,2/15/20 06:19,0.0309742,,2/15/20 06:19,0.0101016,,2/15/20 06:19,0.0035152,,2/15/20 06:19,0.3669337,,2/15/20 06:19,0.0037633,,2/15/20 06:19,65.65565491,,2/15/20 06:19,0.0049461,,2/15/20 06:19,65.65565491,,2/15/20 06:19,3.244737625
2/15/20 06:28,0.038074,,2/15/20 06:28,0.0123299,,2/15/20 06:29,0.0019298,,2/15/20 06:29,0.3522978,,2/15/20 06:29,0.0275113,,2/15/20 06:29,0.0133732,,2/15/20 06:28,0.0029007,,2/15/20 06:28,0.3548597,,2/15/20 06:29,0.0045402,,2/15/20 06:29,65.92783432,,2/15/20 06:28,0.0044482,,2/15/20 06:29,65.92783432,,2/15/20 06:29,3.245518923
