Time (UTC),Band 1,Peak Acceleration,Peak Velocity,RMS Velocity,Temperature,Battery Voltage,Damage Accumulation
2/15/20 05:08,0.0053107,0.0501273,0.014286,0.0048929,69.12418976,3.227252722,0.9849459
2/15/20 05:18,0.0058656,0.0525156,0.0158189,0.0057292,68.77187881,3.227545738,1.0072722
2/15/20 05:28,0.0029946,0.0493845,0.0149249,0.0046638,69.51172562,3.226764202,1.0246913
2/15/20 05:38,0.0032719,0.0555978,0.0127264,0.0041321,68.52527695,3.226568937,0.9939866
2/15/20 05:49,0.0032041,0.0488145,0.0150649,0.0042886,68.31389656,3.226666689,1.0084854
2/15/20 05:59,0.0033218,0.0463877,0.0148007,0.004846,68.45478592,3.226275921,0.9805894
2/15/20 06:09,0.0065625,0.0476119,0.023752,0.0054737,68.03202858,3.226178408,0.9991033
2/15/20 06:18,0.0039157,0.0480439,0.0143384,0.0048452,67.92631607,3.225885153,1.019438
2/15/20 06:28,0.0036649,0.0470201,0.0155559,0.0050879,67.53878021,3.225689888,0.9900489
2/15/20 06:38,0.0044617,0.0459638,0.0163568,0.0054268,67.82064819,3.22529912,0.9902742
2/15/20 06:48,0.0036842,0.0481716,0.0144662,0.0051014,67.50355873,3.225006104,0.9852622
2/15/20 06:59,0.0038899,0.0469944,0.0201418,0.0054149,67.6797142,3.225201607,1.0005736
2/15/20 07:09,0.0064585,0.047593,0.0155413,0.005144,67.53878021,3.224322319,0.9797609
2/15/20 07:19,0.0038101,0.0536903,0.0150528,0.0046389,67.43311234,3.224420071,1.0220123
2/15/20 07:29,0.0031547,0.0443853,0.0127558,0.0042826,67.36262474,3.224322319,0.9896506
2/15/20 07:38,0.0074917,0.0520233,0.0179869,0.0062716,67.36262474,3.224420071,1.0124595
2/15/20 07:48,0.0050157,0.0470762,0.0202666,0.005874,67.11602287,3.224127054,0.9840809
2/15/20 07:58,0.0032918,0.0458224,0.0141695,0.0052731,66.90464249,3.224322319,0.9810674
2/15/20 08:09,0.0046052,0.0487238,0.0133478,0.0049647,67.36262474,3.224127054,1.0286085
2/15/20 08:19,0.0055483,0.0508083,0.0177303,0.0049772,67.36262474,3.222856998,1.0023968
2/15/20 08:29,0.003549,0.0439171,0.0148383,0.0045902,67.29217834,3.223638535,1.0077274
2/15/20 08:39,0.0038002,0.0436649,0.0148021,0.0049315,66.72848701,3.223248005,0.9771434
2/15/20 08:48,0.0034589,0.0513351,0.0125858,0.0042921,66.6932209,3.222466469,0.9718059
2/15/20 08:58,0.0057793,0.0439368,0.0133913,0.0046517,67.22169075,3.222271204,0.9709091
2/15/20 09:08,0.0042342,0.0474083,0.0162136,0.0057254,66.27046356,3.222759485,0.9942938
2/15/20 09:19,0.0045401,0.0528046,0.0152531,0.0050385,66.86937637,3.22158742,0.9714758
2/15/20 09:29,0.0037393,0.0451354,0.0158733,0.0048578,66.41139755,3.222075701,0.9720835
2/15/20 09:39,0.0052732,0.0446749,0.0173072,0.005573,67.39784622,3.221489668,0.9680389
2/15/20 09:49,0.0035543,0.0514615,0.0141328,0.0043166,66.27046356,3.221880198,1.0267694
2/15/20 09:58,0.0043,0.0450811,0.0170362,0.0047284,66.51706543,3.2210989,1.0090658
2/15/20 10:08,0.0028388,0.0658941,0.0136579,0.004943,66.41139755,3.2210989,0.9929191
2/15/20 10:18,0.0036528,0.0520168,0.0159271,0.0052722,66.37617264,3.221391916,1.0167454
2/15/20 10:28,0.0034591,0.0464771,0.0151951,0.0047249,66.30568504,3.220903397,1.0073359
2/15/20 10:39,0.0037954,0.044355,0.0138328,0.0048439,66.41139755,3.220317602,1.0062184
2/15/20 10:49,0.004805,0.0532148,0.0160867,0.0049784,66.62277451,3.220512867,1.021771
2/15/20 10:59,0.0024469,0.0479249,0.0146663,0.0046477,66.16475105,3.219926596,1.0283649
2/15/20 11:08,0.0066021,0.0498827,0.0167259,0.0051032,66.41139755,3.219829082,0.9793808
2/15/20 11:18,0.0030787,0.0460698,0.0156026,0.0047172,66.27046356,3.219731331,0.9880527
2/15/20 11:28,0.0028234,0.0488267,0.0243576,0.0055168,66.34090652,3.219536066,1.0191922
2/15/20 11:38,0.0020967,0.0439421,0.0155313,0.0047249,65.91814919,3.219340801,1.0040356
2/15/20 11:49,0.0031411,0.0464202,0.0135465,0.0049447,66.09430466,3.219340801,1.0364565
2/15/20 11:59,0.0042923,0.0544827,0.0152119,0.005571,66.27046356,3.218852282,0.9843427
2/15/20 12:09,0.002834,0.0419017,0.0143883,0.0043503,66.30568504,3.218364,0.9954569
2/15/20 12:19,0.0026221,0.0492227,0.01228,0.0046193,66.09430466,3.218461514,1.0370961
2/15/20 12:28,0.0032377,0.0495945,0.0132687,0.0048403,65.84770279,3.218364,0.9985069
2/15/20 12:38,0.0045123,0.0543848,0.0154536,0.0051274,65.49539185,3.218168497,0.9802434
2/15/20 12:48,0.0030249,0.0459114,0.0205156,0.0054029,65.74199371,3.217680216,1.0248506
2/15/20 12:59,0.0035724,0.0557218,0.0184319,0.0049315,65.31923294,3.217680216,1.0436558
2/15/20 13:09,0.0029398,0.0446354,0.0162596,0.004877,65.46012573,3.217875481,1.0037875
2/15/20 13:19,0.0041174,0.0477392,0.0146559,0.0049293,65.07258987,3.217191696,1.0073041
2/15/20 13:29,0.0044048,0.0450505,0.0178885,0.0059715,65.00214348,3.216410398,0.9969956
2/15/20 13:38,0.0046359,0.0424755,0.0155182,0.0048998,65.14307747,3.217191696,0.9893888
2/15/20 13:48,0.0031216,0.0503012,0.015054,0.0043892,64.82598801,3.216605663,1.0017504
2/15/20 13:58,0.0048487,0.0471288,0.0164279,0.0058593,64.93165588,3.216507912,1.028852
2/15/20 14:09,0.0025893,0.0512311,0.0165404,0.0053636,64.79076309,3.216214895,1.0077297
2/15/20 14:19,0.0029834,0.0500132,0.0156591,0.0048092,64.93165588,3.215921879,1.006578
2/15/20 14:29,0.0053359,0.0428059,0.0145075,0.0047335,65.14307747,3.215824127,0.9654942
2/15/20 14:39,0.0032424,0.0543854,0.0175466,0.0055793,65.46012573,3.215628862,1.0389488
2/15/20 14:48,0.0031115,0.0509428,0.0198268,0.0052394,64.75549698,3.215824127,1.0369231
2/15/20 14:58,0.0064873,0.046571,0.0182398,0.0056103,64.93165588,3.214652061,0.9946489
2/15/20 15:08,0.0037927,0.0463573,0.014168,0.0043836,65.10781136,3.215042591,1.0030637
2/15/20 15:19,0.0033331,0.0479963,0.0155291,0.0051569,64.6498291,3.214652061,0.991105
2/15/20 15:29,0.0047755,0.0500607,0.0144014,0.0050478,65.24874535,3.214456797,1.0135884
2/15/20 15:39,0.0030495,0.050492,0.0131715,0.0046548,65.14307747,3.21406579,1.0029089
2/15/20 15:49,0.0034034,0.0464488,0.0156152,0.0049742,65.00214348,3.21406579,0.9871673
2/15/20 15:58,0.002322,0.0491242,0.0168454,0.0051975,65.00214348,3.213968277,0.9687718
2/15/20 16:08,0.0022279,0.0478745,0.0140177,0.0039993,65.03736496,3.213479996,0.9982292
2/15/20 16:18,0.0032402,0.0515464,0.0159711,0.0044817,64.93165588,3.213284492,0.9946512
2/15/20 16:28,0.002767,0.0483255,0.013013,0.0044693,65.07258987,3.213382244,0.9770682
2/15/20 16:39,0.0033926,0.0506853,0.0156295,0.0042988,64.89643097,3.212991476,1.015423
2/15/20 16:49,0.0067065,0.0476689,0.0201586,0.0062874,65.38967934,3.21269846,0.9834573
2/15/20 16:59,0.0040971,0.0477126,0.0150936,0.0052872,65.10781136,3.213186741,0.9877045
2/15/20 17:08,0.0036301,0.0554707,0.0180345,0.0055067,65.21352386,3.212405443,0.9974303
2/15/20 17:18,0.0034738,0.051211,0.0147903,0.0047138,65.35445786,3.212405443,1.0156574
2/15/20 17:28,0.0026318,0.0507581,0.0160508,0.005549,65.28396683,3.21220994,1.0165474
2/15/20 17:38,0.0029764,0.0449493,0.0161362,0.0049594,64.966922,3.211916924,1.0103791
2/15/20 17:49,0.0042832,0.0496313,0.015045,0.0054275,65.35445786,3.211916924,0.9856128
2/15/20 17:59,0.0053069,0.0478334,0.0148052,0.004949,65.03736496,3.211916924,1.0058633
2/15/20 18:09,0.0053419,0.04749,0.01885,0.005336,64.86120949,3.211233139,1.0014112
2/15/20 18:18,0.0058827,0.0579726,0.0157322,0.0051858,65.35445786,3.210744858,1.0179881
2/15/20 18:28,0.005617,0.0545076,0.0185014,0.0053323,65.7067688,3.210744858,0.9946284
2/15/20 18:38,0.0038538,0.0446605,0.0170179,0.0051373,65.17829895,3.210940123,1.0167317
2/15/20 18:48,0.0041097,0.046433,0.0180045,0.0052189,65.35445786,3.210549593,0.9960487
2/15/20 18:59,0.0036009,0.0535827,0.0136516,0.0045568,65.7067688,3.210158587,1.0291479
2/15/20 19:09,0.0033207,0.0640584,0.0160402,0.0049634,65.38967934,3.209865808,1.0158577
2/15/20 19:19,0.0032568,0.0467858,0.0133763,0.0042811,65.56583481,3.209279537,1.0037556
2/15/20 19:28,0.0031176,0.0526796,0.0148552,0.005162,65.35445786,3.209572792,0.9988529
2/15/20 19:38,0.0034265,0.0475982,0.0162494,0.0046907,65.42490082,3.209377289,0.9931012
2/15/20 19:48,0.0025473,0.048124,0.0131254,0.0046202,65.14307747,3.209279537,1.000799
2/15/20 19:59,0.0043539,0.0472297,0.0159763,0.0051578,65.14307747,3.209377289,0.9924502
2/15/20 20:09,0.0032858,0.053021,0.0198517,0.0062343,65.14307747,3.209377289,1.0023991
2/15/20 20:19,0.0018937,0.0498606,0.0250109,0.0060578,65.03736496,3.208986521,1.0148426
2/15/20 20:29,0.0032849,0.0466295,0.0142229,0.005075,65.49539185,3.208889008,0.9915056
2/15/20 20:38,0.0048741,0.0438614,0.015252,0.0042924,65.46012573,3.208400488,1.0158782
2/15/20 20:48,0.0036499,0.0534973,0.0167941,0.0058575,65.24874535,3.208302736,1.0291616
2/15/20 20:58,0.0046212,0.052946,0.017198,0.0056546,65.14307747,3.20849824,1.0149017
2/15/20 21:09,0.0040319,0.0542598,0.0170525,0.005521,65.42490082,3.208400488,1.0053125
2/15/20 21:19,0.003708,0.0440463,0.0134627,0.0048735,65.53061333,3.207716703,1.0288589
2/15/20 21:29,0.0039808,0.0463665,0.0146223,0.0053839,65.53061333,3.207716703,0.9764059
2/15/20 21:39,0.0030194,0.047422,0.016844,0.0053597,65.60105972,3.207228184,1.003198
2/15/20 21:48,0.0043944,0.0392046,0.0141614,0.0053787,65.38967934,3.207032919,0.9835711
2/15/20 21:58,0.004637,0.0510963,0.0182947,0.0052407,65.03736496,3.206642389,1.020485
2/15/20 22:08,0.0034274,0.0440149,0.0140585,0.0057916,65.42490082,3.206544638,1.0028588
2/15/20 22:19,0.0031795,0.0559871,0.0153273,0.0051647,65.38967934,3.206739902,1.0126552
2/15/20 22:29,0.0027983,0.0490694,0.0116792,0.0042092,65.74199371,3.206739902,0.9998157
2/15/20 22:39,0.0063677,0.0457882,0.0209975,0.0064304,65.35445786,3.206251383,0.9866324
2/15/20 22:49,0.0051512,0.0504301,0.0172508,0.0051477,65.35445786,3.206056118,1.0038831
2/15/20 22:58,0.0035331,0.0568647,0.0186839,0.0045326,65.53061333,3.205567837,0.9887538
2/15/20 23:08,0.0048399,0.0452145,0.0149656,0.0056335,65.74199371,3.205763102,1.0129215
2/15/20 23:18,0.0026154,0.0428244,0.016506,0.0043577,65.60105972,3.205372334,0.9917787
