Time (UTC),Band 1,Peak Acceleration,Peak Velocity,RMS Velocity,Temperature,Battery Voltage,Damage Accumulation
2/15/20 05:08,0.0032806,0.048234,0.0164179,0.0044986,69.12418976,3.227252722,0.9889563
2/15/20 05:18,0.0031057,0.0468124,0.0174317,0.0047664,68.77187881,3.227545738,1.0187886
2/15/20 05:28,0.0035309,0.0485662,0.0131528,0.0045822,69.51172562,3.226764202,1.012189
2/15/20 05:38,0.0023349,0.0457376,0.0148627,0.0038504,68.52527695,3.226568937,1.0183065
2/15/20 05:49,0.0040037,0.0421953,0.0154672,0.005412,68.31389656,3.226666689,0.9838173
2/15/20 05:59,0.0019277,0.0449643,0.0128581,0.0038562,68.45478592,3.226275921,0.9948952
2/15/20 06:09,0.0037558,0.0406661,0.0126042,0.0045468,68.03202858,3.226178408,0.9767354
2/15/20 06:18,0.0027029,0.0484174,0.0153958,0.0053043,67.92631607,3.225885153,1.0100354
2/15/20 06:28,0.0030105,0.0517215,0.0182781,0.004679,67.53878021,3.225689888,1.014548
2/15/20 06:38,0.0021114,0.0432445,0.0136394,0.004382,67.82064819,3.22529912,0.9864308
2/15/20 06:48,0.0027164,0.0444304,0.0130345,0.0037508,67.50355873,3.225006104,1.0216812
2/15/20 06:59,0.0054841,0.0479822,0.0185341,0.0051729,67.6797142,3.225201607,1.000061
2/15/20 07:09,0.0023684,0.0465531,0.0154279,0.0043609,67.53878021,3.224322319,0.9909506
2/15/20 07:19,0.0030599,0.0508589,0.0203776,0.0054133,67.43311234,3.224420071,1.0109042
2/15/20 07:29,0.002272,0.0429821,0.0138258,0.0043712,67.36262474,3.224322319,1.0024179
2/15/20 07:38,0.0042873,0.042603,0.0158007,0.005124,67.36262474,3.224420071,1.002442
2/15/20 07:48,0.0040103,0.047387,0.015957,0.0048007,67.11602287,3.224127054,1.030689
2/15/20 07:58,0.003879,0.0506489,0.013295,0.0045258,66.90464249,3.224322319,0.9976875
2/15/20 08:09,0.0045364,0.051922,0.0179562,0.00471,67.36262474,3.224127054,0.9990577
